fpr,tpr
0.21805273833671399,0.8793103448275862
0.21805273833671399,0.8833671399594321
0.21906693711967545,0.8833671399594321
0.21906693711967545,0.8843813387423936
0.22008113590263692,0.8843813387423936
0.22008113590263692,0.8853955375253549
0.2210953346855984,0.8853955375253549
0.2210953346855984,0.8864097363083164
0.23123732251521298,0.8864097363083164
0.23123732251521298,0.8874239350912779
0.23225152129817445,0.8874239350912779
0.23225152129817445,0.8884381338742393
0.2332657200811359,0.8884381338742393
0.2332657200811359,0.8894523326572008
0.23427991886409735,0.8894523326572008
0.23427991886409735,0.8904665314401623
0.23529411764705882,0.8904665314401623
0.23529411764705882,0.8924949290060852
0.23732251521298176,0.8924949290060852
0.23732251521298176,0.8945233265720081
0.24239350912778904,0.8945233265720081
0.24239350912778904,0.896551724137931
0.2434077079107505,0.896551724137931
0.2434077079107505,0.8975659229208925
0.24442190669371197,0.8975659229208925
0.24442190669371197,0.8985801217038539
0.24543610547667344,0.8985801217038539
0.24543610547667344,0.8995943204868154
0.24746450304259635,0.8995943204868154
0.24746450304259635,0.9016227180527383
0.2484787018255578,0.9016227180527383
0.2484787018255578,0.9026369168356998
0.24949290060851928,0.9026369168356998
0.24949290060851928,0.9036511156186613
0.25456389452332656,0.9036511156186613
0.25456389452332656,0.9056795131845842
0.2565922920892495,0.9056795131845842
0.2565922920892495,0.907707910750507
0.27079107505070993,0.907707910750507
0.27079107505070993,0.9107505070993914
0.27281947261663286,0.9107505070993914
0.27281947261663286,0.9127789046653144
0.2738336713995943,0.9127789046653144
0.2738336713995943,0.9148073022312373
0.2748478701825558,0.9148073022312373
0.2748478701825558,0.9168356997971603
0.27586206896551724,0.9168356997971603
0.27586206896551724,0.9198782961460447
0.281947261663286,0.9198782961460447
0.281947261663286,0.920892494929006
0.2870182555780933,0.920892494929006
0.2870182555780933,0.9249492900608519
0.2880324543610548,0.9249492900608519
0.2880324543610548,0.9259634888438134
0.28904665314401623,0.9259634888438134
0.28904665314401623,0.9269776876267748
0.2961460446247465,0.9269776876267748
0.2961460446247465,0.9279918864097363
0.29817444219066935,0.9279918864097363
0.29817444219066935,0.9290060851926978
0.3002028397565923,0.9290060851926978
0.3002028397565923,0.9300202839756593
0.3012170385395537,0.9300202839756593
0.3012170385395537,0.9320486815415822
0.3022312373225152,0.9320486815415822
0.3022312373225152,0.9330628803245437
0.30730223123732253,0.9330628803245437
0.30730223123732253,0.934077079107505
0.30831643002028397,0.934077079107505
0.30831643002028397,0.9350912778904665
0.3184584178498986,0.9350912778904665
0.3184584178498986,0.936105476673428
0.31947261663286003,0.936105476673428
0.31947261663286003,0.9371196754563894
0.3235294117647059,0.9371196754563894
0.3235294117647059,0.9381338742393509
0.3255578093306288,0.9381338742393509
0.3255578093306288,0.9391480730223124
0.3306288032454361,0.9391480730223124
0.3306288032454361,0.9411764705882353
0.332657200811359,0.9411764705882353
0.332657200811359,0.9421906693711968
0.33367139959432046,0.9421906693711968
0.33367139959432046,0.9432048681541582
0.33468559837728196,0.9432048681541582
0.33468559837728196,0.9442190669371197
0.3438133874239351,0.9442190669371197
0.3438133874239351,0.9462474645030426
