recall,precision
0.9929006085192698,0.587987987987988
0.9929006085192698,0.5883413461538461
0.9929006085192698,0.5886951292844257
0.9929006085192698,0.589049338146811
0.9929006085192698,0.5894039735099338
0.9929006085192698,0.5897590361445784
0.9929006085192698,0.5901145268233876
0.9929006085192698,0.5904704463208685
0.9929006085192698,0.5908267954133977
0.9929006085192698,0.591183574879227
0.9929006085192698,0.5915407854984894
0.9929006085192698,0.5918984280532044
0.9929006085192698,0.5922565033272837
0.9929006085192698,0.5926150121065376
0.9929006085192698,0.5929739551786796
0.9929006085192698,0.5933333333333334
0.9929006085192698,0.5936931473620376
0.9929006085192698,0.5940533980582524
0.9929006085192698,0.5944140862173649
0.9929006085192698,0.594775212636695
0.9929006085192698,0.5951367781155015
0.9929006085192698,0.5954987834549879
0.9929006085192698,0.595861229458308
0.9929006085192698,0.5962241169305724
0.9929006085192698,0.5965874466788543
0.9929006085192698,0.5969512195121951
0.9929006085192698,0.5973154362416108
0.9929006085192698,0.5976800976800977
0.9929006085192698,0.598045204642639
0.9929006085192698,0.5984107579462102
0.9929006085192698,0.598776758409786
0.9929006085192698,0.5991432068543452
0.9929006085192698,0.5995101041028781
0.9929006085192698,0.5998774509803921
0.9929006085192698,0.6002452483139178
0.9929006085192698,0.6006134969325153
0.9918864097363083,0.6003683241252302
0.9918864097363083,0.6007371007371007
0.9918864097363083,0.6011063306699447
0.9918864097363083,0.6014760147601476
0.9918864097363083,0.6018461538461538
0.9918864097363083,0.6022167487684729
0.9918864097363083,0.6025878003696857
0.9918864097363083,0.6029593094944513
0.9918864097363083,0.6033312769895126
0.9918864097363083,0.6037037037037037
0.9918864097363083,0.6040765904879555
0.9918864097363083,0.6044499381953028
0.9918864097363083,0.6048237476808905
0.9918864097363083,0.6051980198019802
0.9918864097363083,0.6055727554179566
0.9918864097363083,0.6059479553903345
0.9918864097363083,0.606323620582765
0.9908722109533469,0.6060794044665012
0.9908722109533469,0.606455617628802
0.9908722109533469,0.606832298136646
0.9908722109533469,0.6072094468614045
0.9898580121703854,0.6069651741293532
0.9888438133874239,0.6067205973864344
0.9888438133874239,0.6070983810709838
0.9888438133874239,0.6074766355140186
0.9888438133874239,0.60785536159601
0.9888438133874239,0.6082345601996257
0.9888438133874239,0.6086142322097379
0.9878296146044625,0.6083697688944409
0.9878296146044625,0.60875
0.986815415821501,0.608505315822389
0.986815415821501,0.6088861076345432
0.986815415821501,0.6092673763306199
0.986815415821501,0.6096491228070176
0.986815415821501,0.6100313479623825
0.9858012170385395,0.6097867001254705
0.9858012170385395,0.6101694915254238
0.9847870182555781,0.6099246231155779
0.9847870182555781,0.6103079824010057
0.9847870182555781,0.610691823899371
0.9847870182555781,0.6110761485210825
0.9847870182555781,0.6114609571788413
0.9847870182555781,0.6118462507876496
0.9847870182555781,0.6122320302648171
0.9847870182555781,0.6126182965299685
0.9847870182555781,0.6130050505050505
0.9847870182555781,0.6133922931143398
0.9847870182555781,0.6137800252844501
0.9847870182555781,0.614168247944339
0.9847870182555781,0.6145569620253165
0.9847870182555781,0.6149461684610513
0.9847870182555781,0.6153358681875792
0.9837728194726166,0.6150919467343057
0.9837728194726166,0.6154822335025381
